index_x,conversation_num,gini_coefficient_num_words,gini_coefficient_num_chars,average_num_words,stdev_num_words,min_num_words,max_num_words,average_num_chars,stdev_num_chars,min_num_chars,max_num_chars,average_num_messages,stdev_num_messages,min_num_messages,max_num_messages,average_positive_sentiment,stdev_positive_sentiment,min_positive_sentiment,max_positive_sentiment,average_negative_sentiment,stdev_negative_sentiment,min_negative_sentiment,max_negative_sentiment,average_neutral_sentiment,stdev_neutral_sentiment,min_neutral_sentiment,max_neutral_sentiment,index_y,batch_num,vis_img,int_verb,ort_img,rep_man,soc_pers,team_size,difficulty,score,duration,efficiency,timestamp
92,dbqX58FcojeTTeMXe,0.0,0.0,2.0,0.0,2,2,6.0,0.0,6,6,2.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,92,1,Low,High,High,High,Low,3,Easy [Corresponds to 'Hard' in PNAS],525.0,61.0,8.60655737704918,NULL_TIME
93,kySX6MHndg67cD3Li,0.33562071116656267,0.3429113580916237,32.714285714285715,19.68838878784205,9,65,150.57142857142858,92.23240388567682,36,299,4.857142857142857,3.313546715640915,1,11,0.7594285714285715,0.7709176085572786,0.0,2.432,0.3148571428571429,0.3442994662339452,0.0,1.0,3.7828571428571434,2.9352875463217973,0.681,9.813,93,1,Low,Mixed,Low,Mixed,High,7,Easy [Corresponds to 'Hard' in PNAS],648.0,525.0,1.2342857142857142,2021-03-10T18:10:49.630Z
123,zdBGjnPDQBJoyZqjh,0.32894736842105265,0.3644578313253012,4.75,2.947456530637899,2,9,20.75,13.88119231190174,6,41,1.25,0.4330127018922193,1,2,0.309,0.3215882460538631,0.0,0.744,0.0,0.0,0.0,0.0,0.9410000000000001,0.44656354531018316,0.256,1.508,123,1,Mixed,Mixed,Low,Low,High,7,Easy [Corresponds to 'Hard' in PNAS],627.0,103.0,6.087378640776699,2021-03-10T18:12:55.156Z
126,cb2KMXFqSt2fJqRoa,0.4910891089108911,0.5012875536480687,20.2,18.594622878671135,1,52,93.2,87.83939890504716,3,243,4.4,2.5768197453450252,1,8,0.89,0.7966155911102919,0.0,2.351,0.06820000000000001,0.13640000000000002,0.0,0.341,3.2418000000000005,2.4086783429922725,0.0,7.144,126,1,Low,Low,Low,Low,High,7,Easy [Corresponds to 'Hard' in PNAS],585.0,371.0,1.5768194070080863,2021-03-10T18:19:27.042Z
134,8WTq4nH5KpA4Ce4YE,0.325,0.35,9.6,5.642694391866354,3,17,48.0,30.476220238080707,15,93,3.0,1.2649110640673518,2,5,0.9299999999999999,0.6057775169152451,0.0,1.744,0.11600000000000002,0.15818975946628153,0.0,0.4,1.9540000000000002,1.6146548857263587,0.182,4.256,134,1,Low,Low,Low,Mixed,High,7,Easy [Corresponds to 'Hard' in PNAS],467.0,103.0,4.533980582524272,2021-03-10T18:20:48.376Z
141,vCHddxo5YReEhtqyM,0.0,0.0,2.0,0.0,2,2,6.0,0.0,6,6,2.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,141,1,Low,Mixed,Low,Mixed,High,2,Easy [Corresponds to 'Hard' in PNAS],555.0,101.0,5.495049504950496,NULL_TIME
142,SGkTzR58PMA9uMQSF,0.0,0.0,2.0,0.0,2,2,6.0,0.0,6,6,2.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,142,1,Mixed,Mixed,Low,Low,High,4,Easy [Corresponds to 'Hard' in PNAS],628.0,174.0,3.6091954022988495,NULL_TIME
143,fgWZ2SyG54KGLQjss,0.0,0.0,2.0,0.0,2,2,6.0,0.0,6,6,2.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,143,1,Low,Low,Low,Mixed,High,4,Easy [Corresponds to 'Hard' in PNAS],518.0,87.0,5.954022988505747,NULL_TIME
144,vWn8GPE4uD5DRYk3C,0.375,0.4230769230769231,4.0,3.0,1,7,19.5,16.5,3,36,1.5,0.5,1,2,0.578,0.578,0.0,1.156,0.0,0.0,0.0,0.0,0.9219999999999999,0.07800000000000001,0.844,1.0,144,1,Mixed,Low,Low,Low,High,4,Easy [Corresponds to 'Hard' in PNAS],603.0,229.0,2.633187772925764,NULL_TIME
145,BzpFKDJHHYFBA7zpg,0.0,0.0,2.0,0.0,2,2,6.0,0.0,6,6,2.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,145,1,Low,Low,Low,High,High,4,Easy [Corresponds to 'Hard' in PNAS],643.0,101.0,6.366336633663367,NULL_TIME
146,fRMomjA9rjYGiy69P,0.16666666666666666,0.25,1.5,0.5,1,2,6.0,3.0,3,9,1.0,0.0,1,1,0.372,0.372,0.0,0.744,0.0,0.0,0.0,0.0,0.628,0.372,0.256,1.0,146,1,Low,Mixed,Low,Mixed,High,4,Easy [Corresponds to 'Hard' in PNAS],503.0,192.0,2.6197916666666665,NULL_TIME
147,8EqTfbc3Yvri8LgJ3,0.0,0.0,2.0,0.0,2,2,6.0,0.0,6,6,2.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,147,1,Low,Low,Low,Low,High,1,Easy [Corresponds to 'Hard' in PNAS],498.0,266.0,1.8721804511278195,NULL_TIME
148,JPDwWHqXbEhejsrxS,0.0,0.0,2.0,0.0,2,2,6.0,0.0,6,6,2.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,148,1,Low,Low,Low,Low,High,1,Easy [Corresponds to 'Hard' in PNAS],516.0,62.0,8.32258064516129,NULL_TIME
149,GEZApdceGDYqcQdpb,0.0,0.0,2.0,0.0,2,2,6.0,0.0,6,6,2.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,149,1,Low,High,Low,High,High,1,Easy [Corresponds to 'Hard' in PNAS],471.0,65.0,7.246153846153846,NULL_TIME
150,bvtTFEL4WkEPwKewX,0.0,0.0,2.0,0.0,2,2,6.0,0.0,6,6,2.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,150,1,Low,High,Low,Low,High,1,Easy [Corresponds to 'Hard' in PNAS],570.0,104.0,5.480769230769231,NULL_TIME
151,95dKhFkLxgzSZuLAP,0.24528301886792453,0.23807053941908712,53.0,23.515952032609693,24,88,241.0,103.1091654509918,114,387,11.5,3.640054944640259,7,16,2.7055,1.2418271820184963,1.583,4.587,0.264,0.31460769221365203,0.0,0.77,8.0305,2.6603501179356073,5.131,12.169,151,1,Low,High,High,Mixed,Low,5,Easy [Corresponds to 'Hard' in PNAS],590.0,398.0,1.4824120603015076,2021-03-10T18:13:59.306Z
169,ckn6r4LamHPWvBzM5,0.0,0.0,2.0,0.0,2,2,6.0,0.0,6,6,2.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,169,1,Low,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],396.0,62.0,6.387096774193548,NULL_TIME
170,Aj7yLWdEKRRprYzpA,0.16666666666666666,0.22727272727272727,1.5,0.5,1,2,5.5,2.5,3,8,1.0,0.0,1,1,0.372,0.372,0.0,0.744,0.0,0.0,0.0,0.0,0.628,0.372,0.256,1.0,170,1,Low,Mixed,High,High,Low,3,Easy [Corresponds to 'Hard' in PNAS],436.0,65.0,6.707692307692308,NULL_TIME
171,M6gSEatzktmEek9Fw,0.0,0.0,29.0,0.0,29,29,142.0,0.0,142,142,4.0,0.0,4,4,0.592,0.0,0.592,0.592,0.33,0.0,0.33,0.33,3.0780000000000003,0.0,3.0780000000000003,3.0780000000000003,171,1,Low,Mixed,High,Low,High,3,Easy [Corresponds to 'Hard' in PNAS],607.0,229.0,2.650655021834061,2021-03-10T18:38:18.099Z
173,A7fCNrF2tYuSEifkp,0.2948905109489051,0.28732394366197184,27.4,14.540976583434828,9,46,127.8,65.63962218050924,42,217,5.0,1.2649110640673518,3,7,1.7823999999999998,0.6778163763144115,0.776,2.697,0.151,0.17447750571348733,0.0,0.464,3.0666,0.8748354359535283,1.673,4.144,173,1,High,Mixed,Low,Low,Low,5,Easy [Corresponds to 'Hard' in PNAS],541.0,274.0,1.9744525547445253,2021-03-10T18:12:16.299Z
189,MMNZT2EJJFjgEaHET,0.125,0.16666666666666666,4.0,1.0,3,5,15.0,5.0,10,20,2.5,0.5,2,3,1.0,1.0,0.0,2.0,0.206,0.206,0.0,0.412,1.294,1.294,0.0,2.588,189,1,High,High,Low,Mixed,Low,5,Easy [Corresponds to 'Hard' in PNAS],556.0,236.0,2.3559322033898304,2021-03-10T18:21:13.221Z
192,TxiK556oQMryKiCg9,0.18571428571428572,0.23006134969325154,17.5,6.5,11,24,81.5,37.5,44,119,4.0,1.0,3,5,1.8715,0.12850000000000006,1.7429999999999999,2.0,0.206,0.206,0.0,0.412,1.9225,0.9225000000000001,1.0,2.845,192,1,High,High,Low,High,Low,2,Easy [Corresponds to 'Hard' in PNAS],521.0,130.0,4.007692307692308,2021-03-10T18:37:14.278Z
197,65ckwTGGaCf7Q6ebJ,0.09009009009009009,0.10040160642570281,12.333333333333334,2.0548046676563256,10,15,55.333333333333336,11.55662388223981,39,64,2.0,1.4142135623730951,1,4,0.4676666666666667,0.6613805426698174,0.0,1.403,0.2293333333333333,0.32432631030422976,0.0,0.688,1.303,0.42850670939904784,1.0,1.909,197,1,High,Low,Low,Mixed,High,6,Easy [Corresponds to 'Hard' in PNAS],558.0,216.0,2.583333333333333,2021-03-10T18:11:56.792Z
202,7hp4cP7sFLCeZrNSk,0.275,0.2989690721649485,9.6,4.923413450036469,3,18,38.8,22.049036260118037,14,79,4.8,1.32664991614216,3,7,2.2472000000000003,1.4806796277385599,0.0,3.7439999999999998,0.2,0.4000000000000001,0.0,1.0,2.1528,0.5835856064023514,1.508,3.2560000000000002,202,1,High,Mixed,Low,High,High,6,Easy [Corresponds to 'Hard' in PNAS],583.0,181.0,3.220994475138121,2021-03-10T18:13:31.144Z
207,RsnSnpZrHwxXQn2Fk,0.5341880341880342,0.5448179271708683,13.0,13.90443574307614,1,42,59.5,65.0608689356872,4,195,3.5,2.5,1,8,1.6885000000000001,0.7770413438164021,0.744,2.968,0.050833333333333335,0.1136667888562393,0.0,0.305,1.7606666666666666,1.8664924918740557,0.0,5.032,207,1,High,Low,Low,Low,High,6,Easy [Corresponds to 'Hard' in PNAS],568.0,181.0,3.138121546961326,2021-03-10T18:21:49.015Z
216,dPTkrL4PwoMEuPeiY,0.2857142857142857,0.40860215053763443,2.3333333333333335,1.247219128924647,1,4,10.333333333333334,8.339997335464535,3,22,1.0,0.0,1,1,0.161,0.22768838354206827,0.0,0.483,0.0,0.0,0.0,0.0,0.839,0.22768838354206827,0.517,1.0,216,1,High,Mixed,Low,Mixed,High,2,Easy [Corresponds to 'Hard' in PNAS],652.0,390.0,1.671794871794872,2021-03-10T18:39:17.101Z
218,qQju8bJC4DKFjnha5,0.5254237288135594,0.5292207792207793,29.5,28.81405906844782,0,69,134.75,133.3029913392794,0,314,6.25,4.437059837324712,1,13,2.3355,1.4037395591775563,0.0,3.714,0.26225,0.4542303242849381,0.0,1.049,3.40225,3.2272795335235527,0.0,8.237,218,1,High,High,Mixed,Mixed,Low,4,Easy [Corresponds to 'Hard' in PNAS],547.0,210.0,2.604761904761905,2021-03-10T18:20:48.021Z
232,Xj23vq8AcrGL4Smve,0.0,0.0,2.0,0.0,2,2,6.0,0.0,6,6,2.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,232,1,High,Mixed,Mixed,High,Low,2,Easy [Corresponds to 'Hard' in PNAS],566.0,118.0,4.796610169491525,NULL_TIME
233,kzEFsxhdRDZCiRMdR,0.25,0.3125,2.0,1.0,1,3,8.0,5.0,3,13,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,233,1,High,High,High,Mixed,Low,5,Easy [Corresponds to 'Hard' in PNAS],542.0,92.0,5.891304347826087,2021-03-11T18:08:38.687Z
234,Wd2End5mbydGHNikn,0.14,0.12962962962962962,12.5,3.5,9,16,54.0,14.0,40,68,2.5,0.5,2,3,0.6719999999999999,0.07200000000000001,0.6,0.744,0.108,0.108,0.0,0.216,1.72,0.32000000000000006,1.4,2.04,234,1,High,Low,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],585.0,368.0,1.5896739130434785,2021-03-11T18:24:13.055Z
238,oE8in22JbjJ75buZH,0.0,0.0,2.0,0.0,2,2,6.0,0.0,6,6,2.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,238,1,High,Low,High,Low,Low,1,Easy [Corresponds to 'Hard' in PNAS],526.0,112.0,4.696428571428571,NULL_TIME
239,e7GqNp7dpqqcWCCwd,0.16666666666666666,0.25,1.5,0.5,1,2,6.0,3.0,3,9,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,239,1,Mixed,Mixed,Mixed,High,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],534.0,136.0,3.926470588235294,2021-03-11T18:54:25.194Z
240,x5hxK8Fra4P5GT8zd,0.0,0.0,2.0,0.0,2,2,6.0,0.0,6,6,2.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,240,1,High,High,High,Low,High,1,Easy [Corresponds to 'Hard' in PNAS],497.0,144.0,3.451388888888889,NULL_TIME
241,sL84jZ9hvvKRzPBqt,0.0,0.0,2.0,0.0,2,2,6.0,0.0,6,6,2.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,241,1,High,Mixed,Low,Low,High,8,Easy [Corresponds to 'Hard' in PNAS],584.0,156.0,3.743589743589744,NULL_TIME
242,m4fX6PazypMky9JZG,0.5972222222222222,0.6150442477876106,8.0,9.83192080250175,1,27,37.666666666666664,47.86671309189949,3,129,2.1666666666666665,1.0671873729054748,1,4,1.3760000000000001,0.453937220328979,0.967,2.0,0.0,0.0,0.0,0.0,0.7906666666666666,1.1815023863238232,0.0,3.033,242,1,High,Mixed,High,Mixed,High,8,Easy [Corresponds to 'Hard' in PNAS],607.0,170.0,3.570588235294118,2021-03-11T18:10:39.630Z
248,TsT8kAKbpHz3KPnLR,0.3333333333333333,0.3950617283950617,2.0,1.4142135623730951,1,4,9.0,7.118052168020874,3,19,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,248,1,High,Mixed,Mixed,Mixed,High,8,Easy [Corresponds to 'Hard' in PNAS],562.0,51.0,11.019607843137257,NULL_TIME
249,zwtfREfmLE7LzyW7n,0.23414634146341468,0.22758620689655176,8.2,3.8157568056677826,1,12,34.8,16.424372134118247,3,49,1.8,0.7483314773547883,1,3,0.3572,0.2344639844411077,0.0,0.69,0.11000000000000001,0.16925601909533378,0.0,0.437,1.3326,0.6787982321721233,0.66,2.625,249,1,High,Mixed,Mixed,Mixed,High,4,Easy [Corresponds to 'Hard' in PNAS],537.0,294.0,1.8265306122448977,2021-03-11T18:31:05.581Z
257,eGzp3uXThKsRFL5CT,0.37575757575757573,0.40632603406326034,18.333333333333332,13.021349989749739,5,36,91.33333333333333,71.4718281718204,23,190,2.3333333333333335,0.9428090415820634,1,3,0.4146666666666667,0.1206988907249036,0.306,0.583,0.0,0.0,0.0,0.0,1.9186666666666667,0.9076902310565843,0.645,2.694,257,1,Low,High,Low,Mixed,Mixed,3,Easy [Corresponds to 'Hard' in PNAS],484.0,68.0,7.117647058823529,2021-03-11T18:03:58.015Z
258,Zi7BRkbuXiosC4DSo,0.4090909090909091,0.43023255813953487,5.5,4.5,1,10,21.5,18.5,3,40,1.0,0.0,1,1,0.1595,0.1595,0.0,0.319,0.0885,0.0885,0.0,0.177,0.7525,0.2475,0.505,1.0,258,1,Mixed,Mixed,Low,Mixed,Low,3,Easy [Corresponds to 'Hard' in PNAS],650.0,223.0,2.914798206278027,NULL_TIME
259,iJCFqZH2gH2LNMony,0.5476190476190477,0.5792682926829268,10.5,11.05667219374799,1,28,51.25,57.603710817967276,3,144,1.25,0.4330127018922193,1,2,0.29225,0.41440341154483756,0.0,1.0,0.055999999999999994,0.05621832441473154,0.0,0.119,0.90175,0.6731687659866581,0.0,1.881,259,1,Mixed,Mixed,Mixed,Mixed,Low,3,Easy [Corresponds to 'Hard' in PNAS],467.0,56.0,8.339285714285714,NULL_TIME
